RxnID,minFlux,maxFlux
ALATA_D2,0,44.4451233536499
SHCHD2,8.47447451927764e-06,8.47447451927764e-06
CPPPGO,0,0.52027743101261
GTHOr,0,30.7824802440994
DHORD5,0,6.1597487388326
GLYCTO2,0,56.7053353327231
GLYCTO3,0,56.7053353327276
GLYCTO4,0,56.7053353327271
PFK_3,0,90.5760000000285
TRPS2,0,40.0005516741607
G3PD5,0,56.7053353327254
LEUTAi,0.017121136680021,3.2596022484775
SHK3Dr,0.0144833329790117,2.11682762698342
G5SD,0.00840056038053327,66.6759866839817
ALATA_L2,0,44.4451233536494
MAN6PI,0,-0
APRAUR,1.69489490174212e-05,0.987243761356193
DB4PS,3.38978980348423e-05,1.97448752271239
RBFK,8.47447449814354e-06,90.5760084744941
ACP1_FMN,0,90.576000000036
RBFSb,1.69489490174212e-05,0.987243761356193
DMATT,1.05645915531801e-05,1.05645915531801e-05
GRTT,1.05645915531801e-05,1.05645915531801e-05
UPP3S,1.69489490385553e-05,0.520285905487133
UPPDC1,8.47447451927764e-06,0.520277431012614
TMDPP,0,4.12376821383123
HCO3E,0.019974830469323,90.6230232250357
IMPC,-6.9880133981635,-0.0206173704476669
IMPD,0,40.0097948557351
ECOAH4,-7.47662975159358,0.947163710515838
GLUTRS,0.000135591592308442,4.16228724389706
TMPPP,8.47447451927764e-06,8.47447451927764e-06
URIK1,0,90.5760000000163
URIK2,0,90.5760000000233
CYTDK1,0,90.5760000000143
CYTDK2,0,90.5760000000282
XPPT,0,45.2879999999778
HXPRT,0,45.2879999999992
NDPK5,-29.2616655204696,45.2890267034891
DHORTS,-6.15974873883704,-0.0125709138950469
OMPDC,0.0125709138950872,6.15974873883904
CS,0.0408595838894001,100.091526357428
ICDHyr,0.0408595838890733,25.0091098417283
ACALD,-90.5760000000704,200.002758370777
ACS,0,90.5760000000391
PPA,0.118548283986776,90.7090668449456
PPCK,0,90.7636744095468
ME1,0,49.9458198276632
ALAR,-9.99841599530532,34.5113161693766
ALATA_L,-1000,1000
XYLK,0,-0
RBK,0,90.5759999999903
GLYK,0,90.5760000000611
PPM,-1000,45.2884843941215
ASPTA,-200.114021874884,-0.111263504083354
FBP,0,90.6090673362796
GLGC,0,90.5760000000135
PYK,0,90.5760000000538
A5PISO,0.00147873880041516,0.312691909881323
IPPMIb,-3.25960224847745,-0.0171211366799753
ACHBS,0.0110407202135032,2.93078901759728
ACLS,0.0332278065560351,4.15031871564795
PSCVT,0.0144833329790117,2.11682762698342
ANS,0.00216015495560224,1.9605601549545
ANPRT,0.00216015495560224,1.9605601549545
CHORM,0.0122892801253008,2.11463357412959
CHORS,0.014483332978959,2.11682762698337
IGPS,0.00216015495560224,1.9605601549545
ECOAH6,-10.832261001497,0.166173305212737
ENO,-42.9503956271936,19.8867658475745
FBA,-90.6090673362462,90.5760000000253
MGSA,0,30.1920000000019
PPS,0,90.7636744095868
PGI,-90.5760000000705,90.5760000000193
PGK,0.0914066448835911,30.283425006259
EDA,0,30.1920000000053
PGL,0,50.7650949066018
RPE,-19.5365906957035,33.8139200132102
TALA,-90.5835051035891,16.9141931986198
TKT1,-9.761062155839,16.9141931986226
G6PDA,0,90.5760000000447
ALCD2x,-8.42567441861058,-0
ALDD2y,0,90.5759999999951
RMI,0,-0
FMNAT,8.47447472551721e-06,0.650868786127319
NADDP,0,45.2880000000071
NMNAT,0,45.2880000000044
HMPK1,0,-0
NDPK6,0,18.4232316518164
NDPK8,-29.2616655204656,45.288994363676
PYNP2r,-90.576000000017,45.2889943636956
DURIPP,-4.12476257750984,18.4222372881356
PTRCTA,0,17.1923270590209
CYSDS,0,28.5718226243996
TRPAS2,-1.63416015495579,39.9983915192001
NDP3,0,90.5760000000171
CDPPH,0,90.5760000000245
NDP7,0,90.5760000000012
PMDPHT,1.69489490174212e-05,0.987243761356193
ILETA,-2.93078901759725,-0.0110407202134866
VALTA,-1000,999.983918943558
ORPT,-6.15974873883908,-0.0125709138950469
RBFSa,3.38978980348423e-05,1.97448752271239
DHAD2,0.0110407202135032,2.93078901759728
G1PP,0,90.5760000000159
PFL,0,60.6589358250092
FRD2,0,56.7179928154685
FRD3,0,56.7053353327379
POX,0,46.600328138597
PTAr,-90.5981243068471,90.5538756932156
ACKr,-90.5538756932156,90.598124306847
MOAT,0.000739369400211057,0.156345954940681
UDCPDPS,2.09011703390248e-06,2.09011703390248e-06
USHD,0.000739369400211057,0.156345954940681
LPADSS,0.000739369400211057,0.156345954940681
TDSK,0.000739369400211057,0.156345954940681
NTPP1,0,45.288000000009
NTPP2,0,45.2880000000078
NTPTP1,0,18.4228271648952
NTPTP2,0,30.1920000000179
IPMD,0.017121136680021,3.2596022484775
AIRC3,-6.98441315257116,-0.0170171248561246
ADSL2r,0.0170171248561246,6.98441315257116
PUNP5,-90.5760000000284,45.2880000000016
