RxnID,minFlux,maxFlux
ALATA_D2,0,92.4750017746559
SHCHD2,1.77761566043889e-05,1.77761566043889e-05
CPPPGO,0,1.07413970445477
GTHOr,0,67.9376505323391
DHORD5,0,13.0398599866003
GLYCTO2,0,103.089072962429
GLYCTO3,0,103.089072962425
GLYCTO4,0,103.08907296243
PFK_3,0,192.42330423646
TRPS2,0,86.3505306819601
G3PD5,0,103.089072962431
LEUTAi,0.0359134960140446,6.32364874037447
SHK3Dr,0.0303804082013812,4.72507917773794
G5SD,0.0176211134447612,139.040947662362
ALATA_L2,0,92.4750017746566
MAN6PI,0,-0
APRAUR,3.55523132008718e-05,2.21886636174724
DB4PS,7.11046264017437e-05,4.43773272349448
RBFK,1.77761565964829e-05,185.826017776174
ACP1_FMN,0,185.826000000017
RBFSb,3.55523132008718e-05,2.21886636174724
DMATT,2.21604104754265e-05,2.21604104754265e-05
GRTT,2.21604104754265e-05,2.21604104754265e-05
UPP3S,3.55523132087778e-05,1.07415748061121
UPPDC1,1.77761566043889e-05,1.07413970445461
TMDPP,0,8.57872597058861
HCO3E,0.0418994373947044,185.92463646531
IMPC,-14.925870057303,-0.043247236748357
IMPD,0,83.0580386878764
ECOAH4,-15.215739229358,1.96887935314021
GLUTRS,0.000284418505670223,8.5932598448897
TMPPP,1.77761566043889e-05,1.77761566043889e-05
URIK1,0,185.826000000022
URIK2,0,185.826000000005
CYTDK1,0,185.826000000011
CYTDK2,0,185.826000000006
XPPT,0,92.9130000000117
HXPRT,0,92.912999999999
NDPK5,-63.8648724387481,92.9151536252241
DHORTS,-13.039859986599,-0.0263688956231363
OMPDC,0.0263688956230889,13.0398599866032
CS,0.085707539783881,201.375581442261
ICDHyr,0.0857075397839253,49.7162004871675
ACALD,-185.826000000003,417.069979646758
ACS,0,185.826000000006
PPA,0.248668263327584,186.105122566127
PPCK,0,185.826000000015
ME1,0,108.665071530335
ALAR,0.00332262672463912,92.6169286924073
ALATA_L,-1000,999.919887246438
XYLK,0,-0
RBK,0,185.826000000016
GLYK,0,185.826000000025
PPM,-1000,92.9140160707673
ASPTA,-417.303367270811,-0.233387624025909
FBP,0,185.826
GLGC,0,185.826000000004
PYK,0,202.098998636027
A5PISO,0.00310181975692103,0.649938766151536
IPPMIb,-6.32364874037444,-0.0359134960140182
ACHBS,0.0231591435072489,6.02047334432129
ACLS,0.0696990346264224,8.22574350712757
PSCVT,0.0303804082013812,4.72507917773794
ANS,0.00453116623257076,4.47080737918302
ANPRT,0.00453116623257076,4.47080737918302
CHORM,0.0257781373423933,4.72047690687983
CHORS,0.0303804082013737,4.7250791777379
IGPS,0.00453116623257076,4.47080737918302
ECOAH6,-22.2242920596532,0.345583347640286
ENO,-80.453845645867,53.737600297253
FBA,-185.825999999999,192.423304236458
MGSA,0,67.3663328786692
PPS,0,185.82600000001
PGI,-204.020399445732,185.826000000003
PGK,-16.4749310221179,53.3683195614924
EDA,0,73.1765454019358
PGL,0,105.822883232053
RPE,-38.7610525491591,77.1534250465597
TALA,-189.105713695936,38.5918849512236
TKT1,-19.3653538466335,38.5918849512232
G6PDA,0,185.826000000003
ALCD2x,-17.0312167985696,-0
ALDD2y,0,185.826000000003
RMI,0,-0
FMNAT,1.77761565964803e-05,1.45368463631398
NADDP,0,92.9130000000038
NMNAT,0,92.9130000000033
HMPK1,0,-0
NDPK6,0,40.9886503551813
NDPK8,-63.8648724387257,92.9150857888617
PYNP2r,-185.825999999913,92.9150857888603
DURIPP,-8.58081175943914,40.9865645663538
PTRCTA,0,34.1684319423859
CYSDS,0,61.6789504871125
TRPAS2,-3.68425393850805,86.3459995157277
NDP3,0,185.825999999985
CDPPH,0,185.826000000001
NDP7,0,185.825999999999
PMDPHT,3.55523132008718e-05,2.21886636174724
ILETA,-6.02047334432132,-0.0231591435072005
VALTA,-1000,999.919887246438
ORPT,-13.0398599866032,-0.0263688956231363
RBFSa,7.11046264017437e-05,4.43773272349448
DHAD2,0.0231591435072489,6.02047334432129
G1PP,0,185.826000000018
PFL,0,116.411861481257
FRD2,0,103.115623445877
FRD3,0,103.089072962427
POX,0,93.7424034475521
PTAr,-185.872408204099,185.77959179593
ACKr,-185.77959179593,185.872408204099
MOAT,0.00155090987845287,0.324969383075742
UDCPDPS,4.38425387103755e-06,4.38425387103755e-06
USHD,0.00155090987845287,0.324969383075742
LPADSS,0.00155090987845287,0.324969383075742
TDSK,0.00155090987845287,0.324969383075742
NTPP1,0,92.9129999999985
NTPP2,0,92.9130000000007
NTPTP1,0,40.987903206938
NTPTP2,0,61.9420000000149
IPMD,0.0359134960140446,6.32364874037447
AIRC3,-14.9183181401534,-0.0356953195986307
ADSL2r,0.0356953195986307,14.9183181401534
PUNP5,-185.826000000018,92.9130000000039
PUNP6,0,83.0395233216657
PUNP7,-185.825999999982,92.9129999999916
RNDR1,0,63.8669582275586
RNDR3,0,40.9904304062719
RNDR4,0,40.9886503551686
TMDS,0.00208578885071946,8.58081175943925
TMDK1,0,185.826000000001
PPCDC,5.37270383469401e-05,5.3727038153227e-05
FTHFD,0,185.825999999985
EDD,0,73.1765454019537
DHQTi,0.0303804082013737,4.7250791777379
PUNP1,-185.828139436179,92.9129731763305
PUNP2,-83.0386719792895,63.8648724387151
PUNP3,-63.8648724387233,92.9129999999993
LYSAM,0,-0
DHAD1,0.0696990346264224,8.22574350712757
IPPMIa,-6.32364874037444,-0.0359134960140182
G3PD7,0,103.089072962428
NADH9,0,103.089072962434
NADH10,0,103.089072962439
MDH,-143.45013228286,421.585849150406
FUM,-15.0530223739074,421.585849150362
PYDXNK,0,185.826000000015
PYAM5PO,0,92.4750017746476
OHPBAT,-3.55523131929658e-05,1.77761565964829e-05
GLUTRR,0.000284418505670223,8.5932598448897
GLCS1,0,185.826000000004
GLCP,0,185.825999999987
HEMEOS,0,-0
ADMDC,0,2.22872561500066
AGMT,0,23.4884890176837
ARGDC,0,23.4884890176884
ARGSS,0.0235786767458538,29.508316749486
AGPR,-37.7512463912274,-0.0235786767458421
SPMS,0,2.22872561500066
G1SAT,0.000284418505657413,8.59325984488964
KDOCT2,0.00310181975690575,0.649938766151479
OAADC,0,108.665071530363
MNNH,0,-0
ALTRH,0,-0
GUI1,0,-0
PGAMT,-33.0032868680743,-0.00753198872303074
UAGDP,0.00753198872302915,33.0032868680743
