RxnID,minFlux,maxFlux
ALATA_D2,0,205.773055566613
SHCHD2,3.96895294816748e-05,3.96895294816748e-05
CPPPGO,0,2.39266150234557
GTHOr,0,151.770680453637
DHORD5,0,28.9284342005338
GLYCTO2,0,224.56969926021
GLYCTO3,0,224.569699260195
GLYCTO4,0,224.569699260205
PFK_3,0,436.885012177321
TRPS2,0,191.372405648738
G3PD5,0,224.569699260198
LEUTAi,0.0801854861296341,13.9064145168291
SHK3Dr,0.0678315416436135,10.4733888330466
G5SD,0.0393433584733884,309.229521728924
ALATA_L2,0,205.773055566616
MAN6PI,0,-0
APRAUR,7.93790589260059e-05,4.96600838205124
DB4PS,0.000158758117852012,9.93201676410247
RBFK,3.96895294443311e-05,417.039920114253
ACP1_FMN,0,417.039880424734
RBFSb,7.93790589260059e-05,4.96600838205124
DMATT,4.94784268874687e-05,4.9478426880986e-05
GRTT,4.94784268874687e-05,4.9478426880986e-05
UPP3S,7.93790589633495e-05,2.39270119187504
UPPDC1,3.96895294816748e-05,2.39266150234556
TMDPP,0,19.0313296089386
HCO3E,0.0935505347279104,417.260109970679
IMPC,-33.201168759274,-0.0965598197703912
IMPD,0,184.818811100957
ECOAH4,-33.7552691312037,4.43216558113625
GLUTRS,0.000635032471706796,19.1416095350003
TMPPP,3.96895294816748e-05,3.96895294816748e-05
URIK1,0,417.039880424724
URIK2,0,417.039880424736
CYTDK1,0,417.039880424729
CYTDK2,0,417.03988042472
XPPT,0,208.519940212356
HXPRT,0,208.519940212361
NDPK5,-143.058428655738,208.524748696739
DHORTS,-28.9284342005318,-0.0588748784972495
OMPDC,0.0588748784972673,28.9284342005325
CS,0.191362621445949,454.545719963936
ICDHyr,0.191362621445933,110.54643473411
ACALD,-417.039880424722,927.570535111379
ACS,0,417.039880424735
PPA,0.555211488520768,417.663088442319
PPCK,0,417.039880424717
ME1,0,245.933578738736
ALAR,0.00741856039394406,206.08994142176
ALATA_L,-1000,999.821129079523
XYLK,0,-0
RBK,0,417.03988042471
GLYK,0,417.039880424748
PPM,-1000,208.522208833808
ASPTA,-928.09162891086,-0.521093799441019
FBP,0,417.039880424729
GLGC,0,417.039880424716
PYK,0,456.160922208042
A5PISO,0.00692555592456756,1.46320091443215
IPPMIb,-13.9064145168292,-0.0801854861296079
ACHBS,0.0517083377165089,13.3277641922666
ACLS,0.155619797418401,18.3162622399627
PSCVT,0.0678315416436135,10.4733888330466
ANS,0.0101169144588647,10.036447420008
ANPRT,0.0101169144588647,10.036447420008
CHORM,0.0575558690668247,10.4631131604706
CHORS,0.0678315416435788,10.4733888330465
IGPS,0.0101169144588647,10.036447420008
