RxnID,minFlux,maxFlux
ALATA_D2,0,49.9914308253296
SHCHD2,1.00369235368175e-05,1.00369235368175e-05
CPPPGO,0,0.625867010688205
GTHOr,0,36.3357939229031
DHORD5,0,7.69515931266645
GLYCTO2,0,56.0978940617792
GLYCTO3,0,56.097894061786
GLYCTO4,0,56.0978940617877
PFK_3,0,104.076000000023
TRPS2,0,47.2426166831077
G3PD5,0,56.0978940617806
LEUTAi,0.0202777811567979,3.58448020801987
SHK3Dr,0.0171536424279566,2.58692285060147
G5SD,0.00994938175972493,75.5326111108586
ALATA_L2,0,49.9914308253298
MAN6PI,0,-0
APRAUR,2.00738470637896e-05,1.21374147282718
DB4PS,4.01476941275791e-05,2.42748294565437
RBFK,1.00369235269721e-05,104.076010036927
ACP1_FMN,0,104.076000000026
RBFSb,2.00738470637896e-05,1.21374147282718
DMATT,1.25123979517277e-05,1.25123979517277e-05
GRTT,1.25123979517277e-05,1.25123979517277e-05
UPP3S,2.0073847073635e-05,0.625877047611735
UPPDC1,1.00369235368175e-05,0.625867010688198
TMDPP,0,4.89876724729322
HCO3E,0.0236576138887585,104.13169295334
IMPC,-8.26326722390388,-0.0244186197321596
IMPD,0,45.3245443954816
ECOAH4,-8.59121993548661,1.10784287541287
GLUTRS,0.00016059077658908,5.00701638089388
TMPPP,1.00369235368175e-05,1.00369235368175e-05
URIK1,0,104.076000000008
URIK2,0,104.076000000009
CYTDK1,0,104.076000000024
CYTDK2,0,104.076000000012
XPPT,0,52.0380000000107
HXPRT,0,52.0380000000065
NDPK5,-34.2881104988845,52.0392159980429
DHORTS,-7.69515931266085,-0.0148886283469665
OMPDC,0.0148886283469128,7.69515931267834
CS,0.0483929143111756,113.44526191466
ICDHyr,0.0483929143110799,29.0621817992317
ACALD,-104.076000000044,226.567985187298
ACS,0,104.07600000001
PPA,0.140405173097893,104.233600538518
PPCK,0,113.942764430926
ME1,0,66.3173277913352
ALAR,0.00187604953748632,50.0720139987802
ALATA_L,-1000,999.954766061094
XYLK,0,-0
RBK,0,104.076
GLYK,0,104.07599999998
PPM,-1000,52.0385737024576
ASPTA,-226.699762476832,-0.131777289599199
FBP,0,104.115164000642
GLGC,0,104.07599999998
PYK,0,113.720488265694
A5PISO,0.00175137564428951,0.365693110874304
IPPMIb,-3.58448020801984,-0.0202777811567785
ACHBS,0.0130763110234442,3.42011368226148
ACLS,0.0393540570498264,4.71417856219823
PSCVT,0.0171536424279566,2.58692285060147
ANS,0.0025584253121225,2.45036239852971
ANPRT,0.0025584253121225,2.45036239852971
