RxnID,Pathway,fasta_id,smiles,pred_log10[kcat(s^-1)],pred_log10[Km(mM)],pred_log10[kcat/Km(s^-1mM^-1)]
HBCHLR,Butanoate metabolism,A0A2K3E1B3_wild,C[C@H](CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)O,0.942345917,-1.515880942,1.430236578
HBCO_nadp,Butanoate metabolism,A0A2K3D509_wild,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,-0.40278545,-1.31908381,0.87490195
HBCO_nadp,Butanoate metabolism,A0A2K3D509_wild,[H+],0.385752618,0.394217819,0.171299085
HBCO_nadp,Butanoate metabolism,A0A2K3D509_wild,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,-0.203081205,-1.365393639,1.169592142
HBCO_nadp_m,Butanoate metabolism,A0A2K3D509_wild,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,-0.40278545,-1.31908381,0.87490195
HBCO_nadp_m,Butanoate metabolism,A0A2K3D509_wild,[H+],0.385752618,0.394217819,0.171299085
HBCO_nadp_m,Butanoate metabolism,A0A2K3D509_wild,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,-0.203081205,-1.365393639,1.169592142
HBNOm,Butanoate metabolism,A0A2K3DLE1_wild,C[C@H](CC(=O)O)O,0.682606518,0.58207494,0.174093753
HBNOm,Butanoate metabolism,A0A2K3DLE1_wild,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N,1.344215274,-0.945824444,1.850754738
HBNOx,Butanoate metabolism,A0A2K3DLE1_wild,C[C@H](CC(=O)O)O,0.682606518,0.58207494,0.174093753
HBNOx,Butanoate metabolism,A0A2K3DLE1_wild,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N,1.344215274,-0.945824444,1.850754738
BNOR,Butanoate metabolism,A8JI07_wild,CCCC=O,0.673934817,-0.01703468,1.047672987
BNOR,Butanoate metabolism,A8JI07_wild,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O,0.888476372,-1.578896165,1.792533517
BNOR,Butanoate metabolism,A8JI07_wild,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N,1.266157389,-0.615958035,1.586044192
BNORh,Butanoate metabolism,A8JI07_wild,CCCC=O,0.673934817,-0.01703468,1.047672987
BNORh,Butanoate metabolism,A8JI07_wild,CC(C)(COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)[C@H](C(=O)NCCC(=O)NCCS)O,0.888476372,-1.578896165,1.792533517
BNORh,Butanoate metabolism,A8JI07_wild,C1=CC(=C[N+](=C1)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)O)O)O)O)C(=O)N,1.266157389,-0.615958035,1.586044192
BTS,Butanoate metabolism,A0A2K3DES2_wild,CCCC=O,0.134800375,-0.254061043,0.686407566
BTS,Butanoate metabolism,A0A2K3DES2_wild,[H+],0.753588855,0.204429299,0.554201007
BTS,Butanoate metabolism,A0A2K3DES2_wild,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,0.399637729,-1.676647186,1.806273222
BTS_nadph,Butanoate metabolism,A0A2K3DES2_wild,CCCC=O,0.134800375,-0.254061043,0.686407566
BTS_nadph,Butanoate metabolism,A0A2K3DES2_wild,[H+],0.753588855,0.204429299,0.554201007
BTS_nadph,Butanoate metabolism,A0A2K3DES2_wild,C1C=CN(C=C1C(=O)N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O,0.437783092,-1.537958384,1.811609626
SSNOh,Butanoate metabolism,A0A2K3DI27_wild,O,1.864124656,0.094201602,1.242417693
