RxnID,Pathway,fasta_id,smiles,pred_log10[kcat(s^-1)],pred_log10[Km(mM)],pred_log10[kcat/Km(s^-1mM^-1)]
BCACT,Butanoate metabolism,A0A2K3E2G5_wild,CC(=O)[O-],0.557159364,-0.538814127,0.57992208
BCACT,Butanoate metabolism,A0A2K3DZC7_wild,CC(=O)[O-],0.404714346,-0.258259624,0.433023453
BCACT,Butanoate metabolism,A0A2K3DNZ6_wild,CC(=O)[O-],-0.125305519,-0.013044563,0.152923703
BCACT,Butanoate metabolism,A0A2K3DLL1_wild,CC(=O)[O-],0.691531897,-0.017494325,0.512149453
BCACT,Butanoate metabolism,A0A2K3DAQ7_wild,CC(=O)[O-],0.790720403,0.343682677,0.344792813
BCACT,Butanoate metabolism,A0A2K3CQJ6_wild,CC(=O)[O-],1.066419125,0.283265769,1.106393814
BCACT,Butanoate metabolism,A0A2K3E2G5_wild,CCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,0.369871765,-1.981536627,1.403690577
BCACT,Butanoate metabolism,A0A2K3DZC7_wild,CCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,0.14835678,-1.834969878,1.211177468
BCACT,Butanoate metabolism,A0A2K3DNZ6_wild,CCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,-0.326837718,-1.756821394,1.138527632
BCACT,Butanoate metabolism,A0A2K3DLL1_wild,CCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,0.544778168,-1.561565995,1.502450705
BCACT,Butanoate metabolism,A0A2K3DAQ7_wild,CCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,0.70436132,-1.239317179,1.205349207
BCACT,Butanoate metabolism,A0A2K3CQJ6_wild,CCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O,1.047926545,-1.332274675,2.21142292
NTD1,Pyrimidine metabolism,A0A2K3E1I1_wild,C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(O)O)O,0.492653847,-1.64084661,1.498466969
NTD1,Pyrimidine metabolism,A0A2K3DV71_wild,C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(O)O)O,-1.729598403,-1.876322389,-0.392208397
NTD1,Pyrimidine metabolism,A0A2K3DVK5_wild,C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(O)O)O,0.58008498,-1.212922812,1.115155935
NTD1,Pyrimidine metabolism,A0A2K3DWM0_wild,C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(O)O)O,-0.450793564,-1.777340531,0.79759407
NTD1,Pyrimidine metabolism,A0A2K3E1I1_wild,O,1.786944389,-0.421696812,1.44786346
